ID;Edad;Estado_civil;Genero;Zona_geografica;Ingreso;Numero_entidades_sbs;Tenencia_Saldo_rcc;Tenencia_prestamos_rcc;Tenencia_hipotecario_rcc;Saldo_tc_rcc;Saldo_prestamo_rcc;Saldo_hipotecario_rcc;deuda_rcc;Tenencia_TC_rcc;Nro_bancos_tc_saldo;Cantidad_productos_rcc;Nro_bancos_pld;Nro_productos_activo_E1;Nro_productos_activo_E2;Nro_productos_activo_E3;Nro_productos_activo_E4;Nro_productos_activo_rcc;Antiguedad_cliente;Tenencia_ahorros;Tenencia_cts;Tenencia_depo_plazo;Tenencia_FFMM;Saldo_vehicular_prom;Saldo_hipot_prom;Flg_transacc_atm_3m;Flg_transacc_ventanilla_3m;Flg_transacc_bca_internet_3m;Flg_transacc_bca_telef_3m;Flg_ph;Antiguedad_ph;Antiguedad_ahorros;Antiguedad_depo_plazo;Antiguedad_cts;Antiguedad_pasivos;Nro_productos_pasivos;Antiguedad_pld;Antiguedad_activos;Nro_meses_rcc;Tenencia_ahorros_6m;Tenencia_depo_plazo_6m;Tenencia_cts_6m;Tenencia_FFMM_6m;Nro_meses_visitaOficina_5M;cant_vecesvisitaoficina_5m;Target_mora
22;55;Casado;Masculino;SUR;500;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;215;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;1;0;4;48;1;0;0;0;0;0;SIN ATRASO
23;50;Soltero;Masculino;LIMA ESTE;5000;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;41;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;1;5;23;SIN ATRASO
24;44;Soltero;Femenino;NORTE;2000;3;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;88;0;0;0;0;0;0;0;1;0;0;0;0;26;0;0;26;1;0;0;96;1;0;0;0;5;9;SIN ATRASO
25;48;Casado;Masculino;NORTE;6500;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;98;1;1;0;0;0;0;1;1;0;0;1;73;98;0;94;98;2;0;8;97;1;1;1;0;3;3;SIN ATRASO
26;46;Casado;Masculino;LIMA CENTRO;8500;7;1;1;1;0;485;0;49047;1;4;3;3;0;1;2;0;3;201;0;0;0;0;0;0;1;1;1;0;0;0;28;0;0;28;1;0;27;26;0;0;0;0;4;4;CON ATRASO
27;60;Casado;Masculino;NORTE;6500;3;1;1;0;0;0;0;0;1;2;2;1;1;0;0;0;2;167;1;0;0;0;0;0;1;1;0;0;1;34;35;0;0;35;1;8;8;95;1;0;1;0;4;4;SIN ATRASO
28;69;Soltero;Femenino;LIMA MODERNA;500;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;292;1;0;0;0;0;0;1;0;0;0;0;0;75;0;0;75;1;0;0;99;1;0;0;1;1;1;SIN ATRASO
29;71;Casado;Femenino;LIMA MODERNA;500;2;1;0;0;0;0;0;0;1;2;1;0;0;1;0;0;1;418;1;0;0;0;0;0;1;1;1;0;0;0;281;0;0;281;1;0;0;97;1;0;0;0;1;1;SIN ATRASO
30;70;Casado;Femenino;LIMA MODERNA;2000;4;1;0;0;0;0;0;0;1;3;1;0;0;0;0;0;1;199;1;0;0;0;0;0;1;1;0;0;0;0;26;3;0;26;2;0;0;95;1;1;0;1;2;2;SIN ATRASO
31;45;Soltero;Femenino;LIMA MODERNA;13000;3;1;0;1;0;0;0;0;1;2;2;0;1;1;0;1;2;241;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;97;1;0;0;0;1;1;SIN ATRASO
32;66;Soltero;Femenino;LIMA MODERNA;19000;6;1;0;1;0;0;0;0;1;6;2;0;1;2;1;0;2;183;0;0;0;0;0;0;0;0;0;0;0;0;139;0;0;139;1;0;0;95;0;0;0;0;0;0;CON ATRASO
33;62;Soltero;Femenino;LIMA ESTE;500;3;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;302;1;0;1;1;0;0;0;1;0;0;0;0;108;170;0;170;2;0;0;98;1;1;0;1;2;2;SIN ATRASO
34;63;Casado;Masculino;LIMA SUR;8000;3;1;0;0;0;0;0;0;1;2;1;0;0;0;0;1;1;36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;36;36;1;0;0;98;0;0;1;0;0;0;SIN ATRASO
35;40;Casado;Femenino;LIMA MODERNA;26000;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;167;1;0;0;0;0;0;0;0;0;0;0;0;68;0;0;68;1;0;67;63;1;0;0;0;0;0;SIN ATRASO
36;48;Soltero;Masculino;NORTE;6500;7;1;1;1;0;0;0;0;1;5;3;1;0;2;1;1;3;187;1;0;0;0;0;0;0;1;0;0;0;0;38;0;0;38;1;0;0;97;1;0;0;0;2;2;SIN ATRASO
37;68;Casado;Masculino;LIMA MODERNA;2000;3;1;0;1;0;0;0;0;1;3;1;0;0;0;1;0;1;60;1;0;0;0;0;0;0;1;1;0;0;0;60;0;0;60;1;0;56;47;1;0;0;0;3;3;SIN ATRASO
38;50;Casado;Masculino;NORTE;10500;4;1;0;0;0;0;0;0;1;4;2;0;2;0;1;0;2;133;1;0;0;0;0;0;1;1;0;0;0;0;41;0;0;41;1;0;7;98;1;0;1;0;5;16;SIN ATRASO
39;57;Casado;Femenino;LIMA MODERNA;10000;5;1;0;0;0;0;0;0;1;5;1;0;0;0;1;1;1;97;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;1;1;CON ATRASO
40;56;Casado;Masculino;LIMA MODERNA;10000;2;1;1;0;0;0;0;0;1;1;2;1;2;0;0;0;2;130;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;28;28;61;0;0;0;0;3;16;CON ATRASO
41;55;Casado;Masculino;LIMA MODERNA;5500;5;0;1;0;1042;200;0;30499;1;2;2;3;1;0;0;0;2;231;0;1;0;0;0;0;0;1;1;0;0;0;96;0;29;96;2;27;27;87;1;1;1;0;3;3;CON ATRASO
42;77;Otro;Femenino;LIMA MODERNA;2000;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;244;1;0;0;0;0;0;0;0;0;0;0;0;244;0;0;244;1;0;0;98;1;1;0;0;0;0;SIN ATRASO
43;48;Casado;Femenino;LIMA ESTE;500;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;231;1;0;0;0;0;0;0;1;0;0;0;0;51;0;0;51;1;0;0;99;1;0;0;1;3;3;SIN ATRASO
44;78;Casado;Masculino;LIMA ESTE;4500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;1;0;1;0;0;0;0;0;0;0;0;0;267;85;0;267;2;0;0;75;1;1;0;0;0;0;SIN ATRASO
45;42;Casado;Femenino;CENTRO;2000;5;1;0;0;0;0;0;0;1;2;1;0;0;0;1;0;1;7;1;0;0;0;0;0;0;1;0;0;0;0;7;0;0;7;1;0;0;95;1;0;0;0;5;19;SIN ATRASO
46;49;Casado;Femenino;NORTE;500;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;87;1;0;0;0;0;0;0;0;0;0;0;0;14;0;0;14;1;14;14;34;1;0;0;0;1;1;SIN ATRASO
47;57;Casado;Femenino;LIMA MODERNA;3000;4;1;0;0;0;0;0;0;1;4;1;0;1;0;1;0;1;237;1;0;1;0;0;0;1;1;0;0;0;0;81;4;0;81;2;0;0;97;1;1;0;1;4;11;SIN ATRASO
48;24;Soltero;Femenino;LIMA MODERNA;9000;2;1;0;0;0;0;0;0;1;2;2;0;2;0;0;0;2;61;1;0;0;0;0;0;0;0;1;0;0;0;26;0;0;26;1;0;0;13;1;0;1;1;1;1;SIN ATRASO
49;45;Soltero;Femenino;ORIENTE;21500;6;1;0;1;0;0;0;0;1;5;2;0;1;1;0;1;2;75;1;0;0;0;0;616257;0;0;0;1;0;0;75;0;0;75;1;0;18;72;1;0;0;0;0;0;SIN ATRASO
50;41;Soltero;Masculino;CENTRO;3500;4;1;1;0;0;0;0;0;1;3;3;1;1;1;2;0;3;227;1;1;0;0;0;0;1;1;1;1;0;0;200;0;162;200;2;0;0;99;1;0;1;1;5;8;SIN ATRASO
51;59;Casado;Masculino;LIMA MODERNA;4000;3;1;0;0;0;0;0;0;1;3;1;0;1;0;0;1;1;197;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;17;1;0;0;95;0;0;0;0;0;0;SIN ATRASO
52;42;Casado;Masculino;ORIENTE;7500;5;1;1;1;0;0;0;0;1;5;2;1;1;0;1;2;2;149;1;0;0;0;0;0;0;1;0;1;0;0;141;0;0;141;1;0;0;60;1;1;0;0;2;2;SIN ATRASO
53;67;Casado;Masculino;LIMA NORTE;4000;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;107;1;0;0;0;0;0;1;0;0;0;1;75;107;0;0;107;1;0;0;99;1;0;1;0;1;1;SIN ATRASO
54;45;Casado;Masculino;LIMA MODERNA;4500;3;1;0;0;0;0;0;0;1;3;1;0;1;0;0;1;1;129;1;0;0;0;0;0;0;1;1;0;0;0;129;0;0;129;1;0;0;99;1;0;0;1;2;2;SIN ATRASO
55;52;Casado;Femenino;LIMA MODERNA;3000;4;1;0;0;0;0;0;0;1;4;1;0;0;0;0;1;1;240;1;0;0;0;0;0;1;1;0;0;0;0;52;0;0;52;1;0;0;96;1;0;0;0;5;16;SIN ATRASO
56;36;Soltero;Masculino;LIMA MODERNA;2000;4;1;0;0;0;0;0;0;1;4;2;0;0;0;0;0;2;159;1;0;0;1;0;0;1;1;1;0;0;0;64;0;0;64;1;0;0;83;1;0;1;1;4;14;SIN ATRASO
57;93;Otro;Femenino;LIMA MODERNA;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;SIN ATRASO
58;34;Soltero;Masculino;SUR;7000;3;1;1;1;0;0;0;0;1;3;4;1;1;0;0;3;4;179;1;0;0;0;0;0;0;0;1;0;0;0;100;0;0;100;1;0;0;95;1;0;1;0;1;1;SIN ATRASO
59;63;Casado;Masculino;LIMA MODERNA;2500;5;1;0;0;0;0;0;0;1;5;1;0;1;1;0;1;1;121;0;0;0;0;0;0;0;1;0;0;0;0;59;0;0;59;1;0;0;97;1;0;1;0;5;25;CON ATRASO
60;53;Casado;Masculino;LIMA MODERNA;1500;1;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;260;1;1;1;0;0;0;0;1;0;0;0;0;190;4;66;190;3;0;0;99;1;1;1;0;3;4;SIN ATRASO
61;52;Soltero;Masculino;LIMA MODERNA;13000;2;1;0;0;0;0;0;0;1;2;1;0;1;0;0;1;1;182;1;1;0;0;0;0;0;0;1;1;0;0;182;0;120;182;2;0;0;99;1;0;1;0;0;0;SIN ATRASO
62;60;Otro;Masculino;CALLAO;15500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;SIN ATRASO
63;55;Casado;Masculino;CENTRO;1500;3;1;0;1;0;0;0;0;1;3;1;0;1;0;0;1;1;322;1;1;1;0;0;0;0;1;0;0;0;0;189;189;154;189;3;0;0;72;1;1;1;0;1;1;SIN ATRASO
64;28;Soltero;Masculino;LIMA MODERNA;2500;2;1;0;0;0;0;0;0;1;2;2;0;0;0;0;2;2;103;0;1;0;0;0;0;0;1;0;0;0;0;0;0;29;29;1;0;0;36;1;0;1;0;3;3;SIN ATRASO
65;57;Casado;Femenino;LIMA MODERNA;15000;4;1;0;0;0;0;0;0;1;4;1;0;1;0;1;0;1;238;1;1;0;1;0;0;1;1;0;0;0;0;36;0;15;36;2;0;0;97;1;0;1;1;5;10;SIN ATRASO
66;49;Casado;Masculino;CENTRO;4000;3;1;1;1;0;0;0;0;1;3;3;1;1;0;0;3;3;37;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;97;0;0;0;0;2;2;SIN ATRASO
67;72;Casado;Femenino;LIMA MODERNA;12500;3;1;0;0;0;0;0;0;1;3;1;0;1;0;0;0;1;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;SIN ATRASO
68;53;Casado;Masculino;LIMA CENTRO;1500;10;1;0;0;0;0;0;0;1;10;1;0;1;1;1;1;1;185;1;0;1;0;0;0;1;0;0;0;0;0;106;8;0;106;2;0;0;99;1;1;0;1;2;2;SIN ATRASO
69;30;Soltero;Femenino;LIMA MODERNA;3500;2;1;0;0;0;0;0;0;1;1;2;0;1;0;0;0;2;30;1;0;0;0;0;0;1;1;1;0;0;0;3;0;0;3;1;0;0;59;1;0;0;0;5;5;SIN ATRASO
70;56;Casado;Masculino;LIMA MODERNA;18000;7;1;1;0;0;0;0;0;1;7;3;1;1;1;1;1;3;230;0;1;0;0;0;0;0;0;0;0;0;0;0;0;297;297;1;0;0;98;0;0;1;0;1;1;SIN ATRASO
71;39;Casado;Femenino;SUR;1500;2;1;0;0;0;0;0;0;1;2;1;0;1;0;0;0;1;132;1;0;0;0;0;0;0;1;0;0;0;0;49;0;0;49;1;0;0;34;1;0;0;0;2;2;SIN ATRASO
72;66;Casado;Masculino;LIMA PROVINCIA;3000;2;0;1;0;0;0;0;0;1;1;2;1;1;0;0;0;2;229;1;1;0;0;0;0;1;1;0;0;1;69;69;0;149;149;2;0;0;49;1;0;1;0;3;3;SIN ATRASO
73;63;Soltero;Masculino;CALLAO;6000;4;1;1;0;0;0;0;0;1;2;2;2;0;1;2;0;2;231;0;1;0;0;0;0;0;0;0;0;0;0;0;0;166;166;1;0;0;99;0;0;1;0;1;1;SIN ATRASO
74;46;Casado;Femenino;LIMA MODERNA;4000;3;1;0;0;0;0;0;0;1;3;1;0;1;0;0;0;1;203;1;0;0;0;0;0;1;1;0;0;0;0;58;0;0;58;1;0;0;99;1;0;0;0;3;5;SIN ATRASO
75;57;Casado;Masculino;SUR;7000;3;1;1;0;0;0;0;0;1;3;2;2;2;0;0;0;2;207;1;1;0;0;0;0;1;1;0;0;1;41;31;0;121;121;2;4;4;83;1;0;1;0;1;3;SIN ATRASO
76;57;Casado;Femenino;LIMA MODERNA;2000;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;238;1;0;1;0;0;0;1;1;0;0;0;0;53;6;0;53;2;0;0;71;1;1;0;0;3;3;SIN ATRASO
77;59;Soltero;Masculino;CENTRO;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SIN ATRASO
78;49;Casado;Masculino;LIMA MODERNA;1000;7;1;1;1;0;0;0;0;1;6;3;1;0;0;1;1;3;173;1;0;0;0;0;0;1;1;1;1;0;0;58;0;0;58;1;0;0;98;1;0;1;0;5;5;SIN ATRASO
79;51;Casado;Masculino;LIMA MODERNA;16000;8;1;0;0;0;0;0;0;1;8;1;0;1;1;1;1;1;210;1;0;0;0;0;0;1;1;1;0;0;0;75;0;0;75;1;0;0;98;1;0;0;0;5;6;SIN ATRASO
80;73;Soltero;Femenino;LIMA CENTRO;3000;2;1;0;0;0;0;0;0;1;2;1;0;0;0;0;0;1;112;1;0;0;0;0;0;0;0;0;0;0;0;112;0;0;112;1;0;0;96;1;0;0;0;0;0;SIN ATRASO
81;69;Otro;Femenino;LIMA PROVINCIA;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;1;0;0;97;1;0;0;0;0;0;SIN ATRASO
82;44;Casado;Masculino;LIMA MODERNA;12000;5;1;0;1;0;0;0;0;1;4;3;0;2;1;1;1;3;211;1;0;0;0;0;0;0;1;0;0;0;0;17;0;0;17;1;0;15;98;1;0;0;0;5;5;SIN ATRASO
83;52;Casado;Masculino;ORIENTE;14000;6;1;1;0;0;0;0;0;1;5;2;1;2;0;1;1;2;228;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;13;13;63;0;0;0;0;4;6;SIN ATRASO
84;36;Soltero;Femenino;NORTE;13000;2;0;0;1;0;0;0;0;1;2;2;0;2;0;0;1;2;93;1;1;0;0;0;0;0;1;0;0;0;0;26;0;23;26;2;0;19;72;1;1;1;0;5;6;SIN ATRASO
85;62;Soltero;Masculino;LIMA CENTRO;8000;4;1;0;0;0;0;0;0;1;4;1;0;1;0;1;1;1;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;SIN ATRASO
86;44;Soltero;Masculino;LIMA NORTE;3000;4;1;0;1;0;0;0;0;1;4;2;0;0;1;1;2;2;148;1;0;0;0;0;0;0;1;0;0;0;0;99;0;0;99;1;0;0;99;1;0;0;0;3;3;SIN ATRASO
87;60;Casado;Femenino;LIMA SUR;500;4;1;0;1;0;0;0;0;1;3;2;0;1;0;0;0;2;249;1;0;0;0;0;0;0;1;0;0;0;0;93;0;0;93;1;0;18;95;1;0;0;1;4;5;SIN ATRASO
88;55;Casado;Femenino;NORTE;500;4;1;1;0;0;0;0;0;1;2;2;1;1;0;0;0;2;240;1;0;0;0;0;0;0;1;0;0;0;0;80;0;0;80;1;0;0;51;1;0;0;0;4;4;SIN ATRASO
89;58;Casado;Femenino;LIMA MODERNA;3000;7;1;0;0;0;0;0;0;1;7;1;0;0;1;1;1;1;427;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;3;6;SIN ATRASO
90;45;Casado;Masculino;LIMA SUR;35000;6;1;1;1;0;0;0;0;1;3;4;1;0;1;4;0;4;163;1;0;0;0;0;58255;0;0;1;0;0;0;163;0;0;163;1;0;0;62;1;0;1;0;1;1;SIN ATRASO
91;43;Casado;Femenino;LIMA MODERNA;4000;4;1;0;0;0;0;0;0;1;3;1;0;0;0;1;1;1;173;0;1;0;0;0;0;0;0;0;0;0;0;146;0;162;162;2;0;0;97;1;0;1;0;0;0;CON ATRASO
92;34;Soltero;Femenino;CENTRO;2000;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;1;0;0;28;0;0;28;1;0;0;61;0;0;0;0;0;0;SIN ATRASO
93;79;Casado;Femenino;LIMA MODERNA;2500;2;1;0;0;0;0;0;0;1;2;1;0;0;1;0;0;1;288;1;0;1;0;0;0;0;0;0;0;0;0;205;163;0;205;2;0;0;96;1;1;0;0;0;0;SIN ATRASO
94;56;Casado;Masculino;LIMA NORTE;3000;5;1;1;0;0;0;0;0;1;4;2;2;0;1;0;0;2;200;0;0;1;0;0;0;0;0;0;0;0;0;0;19;0;19;1;0;0;99;0;1;0;0;0;0;SIN ATRASO
95;58;Casado;Masculino;NORTE;1500;5;1;0;1;2272;0;188;24607;1;3;2;0;2;0;0;0;2;304;0;1;0;0;0;183720;0;1;0;0;0;0;66;0;43;66;2;0;66;73;1;0;1;0;4;12;CON ATRASO
96;41;Casado;Masculino;ORIENTE;500;5;0;0;1;0;0;0;0;1;1;2;0;0;0;1;1;2;122;1;0;0;0;0;0;1;1;0;0;0;0;15;0;0;15;1;0;0;97;1;0;0;0;5;20;SIN ATRASO
97;52;Soltero;Masculino;NORTE;2000;3;0;1;0;0;0;0;0;1;1;2;1;0;0;0;0;2;49;1;0;0;1;0;0;1;1;0;0;0;0;49;0;0;49;1;0;0;97;1;0;0;1;3;8;SIN ATRASO
98;60;Soltero;Masculino;LIMA MODERNA;8000;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;269;1;0;1;1;0;0;1;1;1;0;1;49;50;11;0;50;2;0;0;84;1;1;0;1;5;9;SIN ATRASO
99;41;Casado;Femenino;LIMA MODERNA;2000;3;0;0;1;0;0;0;0;1;2;2;0;1;0;0;1;2;152;1;1;1;0;0;0;1;1;1;0;0;0;152;9;21;152;3;0;0;97;1;1;1;0;5;7;SIN ATRASO
100;63;Casado;Femenino;LIMA MODERNA;10000;5;1;1;0;0;0;0;0;1;5;2;1;1;1;0;0;2;305;1;0;0;0;0;0;1;1;0;0;0;0;53;0;0;53;1;0;0;63;1;0;0;0;5;20;SIN ATRASO
101;50;Soltero;Femenino;LIMA MODERNA;7500;8;1;1;0;0;0;0;0;1;7;2;1;1;1;1;1;2;212;1;0;0;0;0;0;0;0;1;0;0;0;74;0;0;74;1;0;0;98;1;0;1;0;3;4;SIN ATRASO
102;52;Soltero;Masculino;LIMA MODERNA;2000;3;1;1;1;0;0;0;0;1;1;3;1;1;0;0;0;3;116;1;0;0;0;0;0;0;1;0;0;0;0;99;0;0;99;1;13;13;75;1;1;0;0;5;9;SIN ATRASO
103;54;Soltero;Masculino;ORIENTE;4500;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;73;1;0;0;87;1;0;1;0;0;0;SIN ATRASO
104;48;Casado;Masculino;ORIENTE;2500;4;1;1;0;0;0;0;0;1;4;3;1;3;0;1;1;3;230;1;0;0;0;0;0;1;1;1;0;0;0;141;0;0;141;1;3;18;99;1;0;1;1;3;5;SIN ATRASO
105;55;Soltero;Femenino;LIMA CENTRO;1500;6;1;1;0;0;0;0;0;1;6;2;1;2;0;0;0;2;241;1;0;0;0;0;0;0;1;0;1;0;0;91;0;0;91;1;48;48;99;1;0;1;0;5;22;SIN ATRASO
